id,Movie_Name,Plot
11450,Quiz Show,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation."
27993,Senior Trip,"To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure."
9059,Tales from the Crypt: Demon Knight,A man on the run is hunted by a demon known as the Collector.::<crow_steve@hotmail.com>
34152,Crooklyn,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.::Tiff Banks"
29973,Cobb,A reporter hired to write the 'official' biography of Ty Cobb discovers just how dark the baseball legend's real story is.::Jean-Marc Rocher <rocher@tss.yh.nec.co.jp>
48992,I Like It Like That,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?::Reid Gagle"
10879,I Love Trouble,Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.::Harald Mayr <marvin@bike.augusta.de>
2758,Addams Family Values,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.::Rob Hartill"
11310,City Slickers II: The Legend of Curly's Gold,"One year after their first western adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.::Daniel Jos. Leary and assmn316"
18658,Clean Slate,"A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life - and resorts to drastic means to do so.::Will S"
26261,Cops & Robbersons,"A counterfeiter with a habit of ""eliminating"" the competition moves in next door to the Robbersons. Two cops move in with the Robbersons for a stakeout.::Scott Filtenborg"
25440,Widows' Peak,"In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster.::Scott Filtenborg"
13815,Fresh,"Death and violence anger a twelve-year-old drug courier, who sets his employers against each other."
35588,Geronimo: An American Legend,The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.::Kenneth Chisholm
9255,Hot Shots! Part Deux,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.::jgp3553@yahoo.com"
10502,The Man without a Face,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.
41878,Les Nuits Fauves,A bitter story of a young man's crisis.
8850,The Shadow,"In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb.::crow_steve@hotmail.com"
23210,Six Degrees of Separation,"An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.::Daniel Jos. Leary"
41590,Trial by Jury,"Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.::Rob Hartill"
161158,"Paris, France","Lucy (Leslie Hope), her husband Michael (Victor Ertmanis), and their business partner William (Dan Left) are the owners of a small publishing company in Toronto. The stability of their lives are thrown into an emotional maelstrom with the arrival of Sloan (Peter Outerbrige), a former boxer-turned-writer whose first book (based on a serial killer) is about to be published by their company. Sloan gets in over his head when he embarks on a steamy affair with the sexually ravenous and frustrated Lucy, who longs to re-create her S&M-filled days in Paris gone by. But Sloan soon embarks on another affair of his own with the openly gay William which leads to sexual confusion for the writer. All in the while, Lucy's befuddled husband, Michael, slowly goes crazy over learning of his wife and business partner's dalliance with his client until he decides to join in on their bed-jumping as well.::Larry B."
51980,Germinal,"In mid-nineteenth-century northern France, a coal mining town's workers are exploited by the mine's owner. One day, they decide to go on strike, and the authorities repress them.::Michel Rudoy <mdrc@hp9000a1.uam.mx> and Brian McInnis"
11800,Naked in New York,"Jake meets Joanne in college. He's into theater, writing plays. She's into photography. They move in together etc. She meets Elliot, owner of a big gallery, works for him and things change.::Scott Filtenborg"
10897,The Little Rascals,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.::Anonymous"
80350,Tough and Deadly,"Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big fishes of the CIA and from Washington.::Volker Boehm"
576,The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.::<jgp3553@excite.com>"
4307,La flor de mi secreto,"Leo writes trashy romance novels under a pseudonym but as she struggles in her relationship with her husband, she finds her output becoming darker.::pyukumuku"
44281,Asfour Stah,"A coming-of-age comedy/drama set in Tunisia. Twelve-year-old Noura is an impressionable boy who must learn to reconcile two conflicting worlds - the loving world of Muslim women and the vastly different, harsher world of men - while also dealing with his own budding sexuality.::Dawn M. Barclift"
12652,Nelly & Monsieur Arnaud,"When Nelly, a woman being just divorced, meets by chance M. Arnaud, a mature salesman just retired, begins a strange and special relationship between the two personalities.::Volker Boehm"
8072,"Alphaville, une étrange aventure de Lemmy Caution",A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.::Daniel Jos. Leary
83857,Windows,"Emily is the subject of a perverse obsession by a gay neighbor, Andrea, who not only is in lust with her but hires a rapist in order to get audio tapes of her moaning. Andrea turns peeping tom and watches Emily with a telescope as she begins a love affair with Detective Cortese.::Dale Berryessa"
20762,The Substitute,Mercenary Shale's team is retired after a (not so) covert mission in Cuba. He becomes substitute teacher at his teacher fiancee's Miami high school to get those behind kneecapping her. His team helps him.::Scott Filtenborg
48260,Butterfly Kiss,"In England, the psychopath Eunice takes rides to gas stations seeking out a song and a woman called Judith that would be in love with her in the cashier of convenience stores. When she takes a ride, she usually kills the driver and leaves the car on the next gas station. When Eunice stumbles upon the naive lesbian Miriam, she brings Eunice home to stay with her. But Eunice wants to find Judith and Miriam decides to go with her. Soon she realizes that Eunice is insane and bipolar but she follows her in her crime spree.::Claudio Carvalho, Rio de Janeiro, Brazil"
38867,Delta of Venus,"A struggling American writer (England) and a fellow American expatriate (Mandylor) begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.::Anonymous"
8866,The Truth About Cats & Dogs,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.::Kenneth Chisholm
25697,Getting Away with Murder,"When a Swiss cop is murdered, a veteran homicide inspector and a rookie are assigned to solve the case but they are obstructed by interfering Swiss politicians.::nufs68"
9323,GHOST IN THE SHELL,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.::Paramount Pictures"
10280,Thinner,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.::<crow_steve@hotmail.com>
10547,The Arrival,"Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.::Skip4591"
9826,The Phantom,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.::<crow_steve@hotmail.com>"
46732,The Grass Harp,"Becoming an orphan in 1935, Collin moves to his dad's cousins Verena and Dolly. Verena is a rich, bossy businesswoman. Dolly, Collin and the maid revolt, moving to a tree house.::Scott Filtenborg"
181083,Wend Kuuni,"In pre-colonial times a peddler crossing the savanna discovers a child lying unconscious in the bush. When the boy comes to, he is mute and cannot explain who he is. The peddler leaves him with a family in the nearest village. After a search for his parents, the family adopts him, giving him the name Wend Kuuni (God's Gift) and a loving sister with whom he bonds. Wend Kuuni regains his speech only after witnessing a tragic event that prompts him to reveal his own painful history.::Excerpted from the Harvard Film Archive Bulletin."
81949,Un été inoubliable,"Romania in the 1920s. Marie-Thérèse Von Debretsy (Dame Kristin Scott Thomas) refuses the advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a dark and dangerous outpost on the frontier between Bulgaria and Romania where their relationship and humanity are severely tested.::MK2 Films"
44495,A Very Natural Thing,"A poignant romantic drama examines the life of gay 26 year old, ex-monk, school teacher living in Manhattan. When he meets a man at a gay bar, they connect and are soon living together. Unfortunately their views on monogamy don't match.::trivwhiz"
77056,Les Rendez-vous de Paris,Three stories of love and coincidence around the theme of dates in Paris.::Yepok
281085,A Boy Called Hate,"After a run-in with the law, an angry maladjusted young man starts calling himself ""Hate"". One night he saves a girl from a lusty Assistant District Attorney. He falsely accuses them of robbery, so they go on the run and make things worse."
35206,La mort en ce jardin,"Chark, an adventurer, comes to a small village near a diamond miners' camp. He is arrested by the local police who accuse him of having committed a bank robbery in a neighboring town. The police also confiscate the diamond mine for the state, due to this the diamond miners start a revolution, but it is defeated. Chark, Father Lizzardi, Castin and his daughter, and Djin, a whore to whom Castin is in love, are fleeing into the jungle, where they start to fight for their lives.::Stephan Eichenberg <eichenbe@fak-cbg.tu-muenchen.de>"
4837,La Collectionneuse,"A womanizing art dealer and a painter find the serenity of their Riviera vacation disturbed by a third guest, a vivacious bohemian woman known for her long list of male conquests.::Anonymous"
124614,O Convento,A group of college students break into an abandoned convent and become possessed by demonic spirits.::Anonymous
31417,Les Yeux sans visage,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face."
10061,Escape from L.A.,"Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.::Ian Pugh {skypilot@ptd.net}"
36266,Xích lô,"When a poor bicycle-taxi driver has his cyclo stolen, he is forced into a life of crime. Meanwhile, his sister becomes a sex worker.::TompaDompa"
238,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.::Carl Schultz
59569,Killer: A Journal of Murder,"Carl Panzram is sent to Leavenworth Prison for burglary. While there, he is brutally beaten by a guard. Neophyte guard Henry Lesser feels sympathy for Panzram, befriends him, and gets him to write his life story. Lesser learns that Panzram's past is much more violent than he thought, but also that he's capable of being a much better person than the rest of the prison staff believes - or so Lesser thinks.::Jon Reeves <jreeves@imdb.com>"
9306,The Island of Dr. Moreau,"After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor.::Mystic80"
872,Singin' in the Rain,A silent film production company and cast make a difficult transition to sound.::Anonymous
13320,Funny Face,An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.::statmanjeff
705,All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.::LVJeff
381,To Catch a Thief,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.::Noah Orent
20758,Father of the Bride,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go.::cupcakes"
18299,Love in the Afternoon,A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.::Ray Hamel <hamel@primate.wisc.edu>
1585,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.::Kenneth Chisholm
57575,The Last Time I Saw Paris,"Charles Wills returns to Paris to reminisce about the life he led there after it was liberated. He worked then for ""Stars and Stripes"" when he met both Marion and Helen Ellswirth. He soon married and was happy staying in Paris after his discharge. While working for a news organization, Charlie began to write the great novel that would come between him, his wife, and his daughter.::Tony Fontana <tony.fontana@spacebbs.com>"
890,Schlafes Bruder,"Following motifs of the best seller of the same name by Robert Schneider, the film tells the story of musician Elias Alder, who brought his life to an end at the age of 22 having decided not to sleep any more. In a mountain village isolated from the world, the fate is fulfilled of a man mortally afflicted by a musical genius which prevents him from following the beating of his heart and settling for happiness with the woman whom he loves more than his own life. See also the documentary The Dark Forest of the Soul - A Portrait of the Writer Robert Schneider by Walter Baco.::Austrian Film Commission"
6346,The Chamber,A young man fresh out of law school tries to win a reprieve for his racist grandfather who is on death row.::Murray Chapman <muzzle@imdb.com>
173,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.::Kenneth Chisholm"
31530,Shall We Dance,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.::Anonymous"
1834,"Murder, My Sweet","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.::David Rush"
11331,The Old Man and the Sea,An old Cuban fisherman's dry spell is broken when he hooks a gigantic fish that drags him out to sea. Based on Ernest Hemingway's story.::LVJeff
521,Dial M for Murder,"A wealthy Wall Street speculator discovers that his wife has a lover. He investigates him and uses the carrot and stick to make him murder his wife. Planned to detail, it seems like a perfect murder.::Scott Filtenborg"
25750,Children of the Corn IV: The Gathering,"All the kids in a town over night become feverish and have convulsions. The next day they start to become evil, change their names for those of kids killed long ago, and then start killing any adult in their path, in vicious and mysterious forms. A young woman who has just returned to town tries to find out what is happening, while trying to protect her transformed young sister. However, the kids are starting to revive their leader...::Parca Mortem <icy_shadow@rocketmail.com>"
116844,Drunks,"At the beginning of a nightly Alcoholics Anonymous meeting, Jim seems particularly troubled. His sponsor encourages him to talk that night, the first time in seven months, so he does - and leaves the meeting right after. As Jim wanders the night, searching for some solace in his old stomping grounds, bars and parks where he bought drugs, the meeting goes on, and we hear the stories of survivors and addicts - some, like Louis, who claim to have wandered in looking for choir practice, who don't call themselves alcoholic, and others, like Joseph, whose drinking almost caused the death of his child - as they talk about their lives at the meeting.::Gary Dickerson <slug@mail.utexas.edu>"
104931,JLG/JLG - autoportrait de décembre,"Director Jean-Luc Godard reflects in this movie about his place in film history, the interaction of film industry and film as art, as well as the act of creating art.::Stephan Eichenberg <eichenbe@fak-cbg.tu-muenchen.de>"
8074,Deux ou trois choses que je sais d'elle,"A day in the life of a Parisian housewife/prostitute, interspersed with musings on the Vietnam War and other contemporary issues.::TompaDompa"
1092,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.::Anonymous"
10835,喋血雙雄,"A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded, only to be double-crossed by his boss.::Anonymous"
539,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
600,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.::matt-282
703,Annie Hall,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.::Jon Reeves <jreeves@imdb.com>
387,Das Boot,An inexperienced U-boat crew has to survive a secret mission and a young German woman is torn between loyalty for her home country and the French resistance in the WWII drama.
696,Manhattan,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.::Anonymous and Brian McInnis"
212,Arsenic and Old Lace,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.::Carl Schultz
1554,Down by Law,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.::Sameir Ali"
3034,Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.::Anonymous & Andreea D"
756,Fantasia,A collection of animated interpretations of great works of Western classical music.::Kenneth Chisholm
10644,The Unbearable Lightness of Being,"In 1968, a Czech doctor with an active sex life meets a woman who wants monogamy, and then the Soviet invasion further disrupts their lives.::Anonymous"
12104,Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.::Kenneth Chisholm
8816,Mitt liv som hund,"A boy and his brother don't get along well. In order to let their ill mother rest, they're separated and sent each one with their relatives.::Alejandro Frias"
30180,Hype!,"Documentary covering the growth and subsequent overexposure of the Seattle ""grunge"" music scene in the early 90s::<jgp3553@yahoo.com>"
33519,Amityville: A New Generation,An old mirror from the haunted Long Island house finds its way into a photographer's family where the evil soon manifests itself to cause more terror and mayhem.::matt-282
25944,Blood for Dracula,An ailing vampire count travels to Italy with his servant to find a bride.
32076,The Believers,"A New York psychiatrist finds that a brujería-inspired cult, which believes in child sacrifice, has a keen interest in his own son.::sspurli"
571,The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
8851,The Blob,"A deadly entity from space crashes near a small town and starts to consume anyone in its path. Panic ensues, as shady government scientists try to contain the horrific creature.::Rob Hartill"
28198,Nosferatu a Venezia,"Professor Paris Catalano visits Venice, to investigate the last known appearance of the famous vampire Nosferatu during the carnival of 1786.::Corey Russell"
2212,Nightwatch,"A law student starts working as nightwatchman at Department of Forensic Medicine in Copenhagen. His mad friend gets him on a game of dare that escalates. As a serial-killer's victims start piling up at work, he becomes a suspect.::Scott Filtenborg"
21539,The Preacher's Wife,An angel comes to Earth to help a preacher save his church and his family.::Anonymous
9037,Grease 2,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.::Craig Clarke <clarkec@topaz.cqu.edu.au>
168535,The Substance of Fire,Publishing magnate refuses to publish a book by his son's male lover so the kids buy out their father and run it themselves!
46681,Terror in a Texas Town,A Swedish whaler is out for revenge when he finds out that a greedy oil man murdered his father for their land.::<BrianVN@earthlink.net>
9819,Marvin's Room,"After 20 years caring for her father, a woman with cancer now must re-connect with her trashy sister and nephews she's never met after being diagnosed. Her love helps the angry teen nephew, and her sister learns to relate to people.::Mick DeLeon"
36040,Walkabout,"Two city-bred siblings are stranded in the Australian Outback, where they learn to survive with the aid of an Aboriginal boy on his ""walkabout"": a ritual separation from his tribe.::Murray Chapman <muzzle@cs.uq.oz.au>"
74239,Message to Love: The Isle of Wight Festival,"In August 1970 600,000 fans flocked to the Isle of Wight to witness the third and final festival to be held on the island. Besides the music, they also got a look at the greed, cynicism and corruption that would plague the music industry for years to come. They also witnessed the final, drugged out performance of Jimi Hendrix in England just two weeks before he would meet a tragic death. When it all was over, the fans view of rock and roll was never the same.::Brian Washington <Sargebri@att.net>"
14832,The Cement Garden,"Four children live with their terminally ill mother. After she dies, they try to hold things together. In their isolated house, they begin to deteriorate mentally, whilst they hide their mom's decomposing corpse in a makeshift concrete sarcophagus.::Gasmaskproductionsbooks"
55936,Кавказский пленник,"Two Russian soldiers, one battle-seasoned and the other barely into his boots and uniform, are taken prisoner by an anxious Islamic father from a remote village hoping to trade them for his captured son.::statmanjeff"
28059,SubUrbia,"When household tensions and a sense of worthlessness overcome Evan, he finds escape when he clings with the orphans of a throw-away society."
333165,Unforgotten: Twenty-Five Years After Willowbrook,"It was a nightmare that shocked not only New York, but all of America. The public outcry about the Willowbrook State School for people with developmental disabilities resulted from Geraldo Rivera's expose on WABC after he had entered Willowbrook with a film crew in 1972, using a stolen key.::Anonymous"
25796,That Old Feeling,A bride's divorced parents find their old feelings for each other during the wedding reception and over the course of the next few days upsetting the newlywed's honeymoon.::John Sacksteder <jsack@ka.net>
9366,Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.::Kenneth Chisholm"
9446,Jungle 2 Jungle,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process."
4477,The Devil's Own,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.::MonkeyKingMA"
76996,Love and Other Catastrophes,A day in the life of two film-school students trying to find love and another house-mate.::<phil.kilby@dit.csiro.au>
47694,Feng yue,"Not far from Shanghai, in a country town stands the palatial home of the Pang family. Old Master Pang is an addict who brings up his beautiful daughter Ruyi on opium smoke. Her older brother, Zhengda, is addicted as well, and then paralysed and effectively brain-dead. Zhongliang, Zhengda's brother-in-law, is a successful gigolo in Shanghai who seduces older married women and then blackmails them. When Older Master Pang dies, the clan elders make Ruyi take over the role as the head of the household. Zhongliang returns to the Pang family on the death of Old Master Pang, re-encounters Ruyi, and they are secretly attracted to each other. Wanting to seem sophisticated, she succumbs to Zhongliang's attempts to seduce her. But then an emotional maelstrom follows - for the angry, jealous and sexually frustrated sister (Zhengda's wife) is also part of the picture.::L.H. Wong <as9401k56@ntuvax.ntu.ac.sg>"
59232,The War at Home,Parents struggle to raise their teens.::Anonymous
15170,Buddy,An eccentric socialite raises a gorilla as her son.::Anonymous
47686,Dream with the Fishes,"Terry is a suicidal voyeur who treats a dying addict to a final binge, but Terry will only do this if he promises to kill him.::Robert Krzanowski <stonedpsycho@hotmail.com>"
65889,Roseanna's Grave,"Roseanna is dying of a heart condition, and all she wants is to be buried next to her daughter, in a cemetery that is getting full fast. The cemetery can't expand because Capestro, the man who owns the land next to the cemetery, won't sell. While Marcello is doing good deeds to make sure no one dies, Roseanna thinks of Marcello's future.::Robert Krzanowski <stonedpsycho@hotmail.com>"
124834,Mondo,"Mondo is a homeless young boy, with a big smile, who wanders around Nice looking for food and a place to sleep.::Will Gilbert"
686,Contact,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.::Noah Orent
20737,Air Bud,An unexpected player joins the school basketball team - a circus dog who escaped from a cruel master.
9413,Picture Perfect,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.::David Rush"
8854,Steel,A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.::A.J. Thousand
9416,Money Talks,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.::watzdabigdeal"
9433,The Edge,An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.
56651,Kicked in the Head,"Redmond is a young guy who can't find what to do with his life. When his uncle Sam gives him the bag to deliver to some uptown connection he fails to do so and it gets them in trouble with Jack, low-key criminal. After that tough guy Stretch wants Redmond to take part in his illegal beer business, but before Redmond gets involved, the business ends in a bad way. Redmond is also having affair with flight attendant Megan.::Anonymous"
10351,Wishmaster,"A demonic djinn attempts to grant its owner three wishes, which will allow him to summon his brethren to Earth.::<crow_steve@hotmail.com>"
14289,Fire Down Below,"Going undercover in rural Kentucky, an environmental agent tries to prove the dumping of toxic waste in the local coal mines by ruthless industrialists."
45928,Incognito,"Harry Donovan is an art forger who paints fake Rembrandt picture for five hundred thousand dollars. The girl he meets and gets into bed with, in Paris, Marieke, turns out to be an art expert, who Harry's clients are using to check the counterfeit picture he painted."
10215,Sliding Doors,"A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel.::Anonymous"
29938,Alien Escape,"An alien vessel crashes on Earth and is discovered by Cindy, Shauna and Becky, three friends beginning what they think to be a casual vacation in the mountains. The alien creatures, escaping a death sentence on their own world, are motivated only by death, destruction and a taste for blood. Ultimately, nothing stands in the way of their gruesome carnage except Cindy, aided by Matt, another visitor from beyond the stars, sent to recover the ship and bring them to justice. Together, they set out to destroy the ship, though its destruction could strand Matt on Earth forever.::Anonymous"
170430,Man of Her Dreams,"When Faith makes a mistake and gets too close to Walter, he thinks it's true love. When she tries to end it, Walter decides he can't let her live without him.::Keith Kjornes <kkjornes@flash.net>"
25994,The Winter Guest,"A recent widow, who is determined to leave Scotland for Australia with her son, gets an unexpected visit from her aging mother.::duke1029@aol.com"
12538,Senseless,A student gets his senses enhanced by an experimental drug. But abuse is not an option.::Julian Reischl <julian.reischl@stud.uni-muenchen.de>
21253,"O Que é Isso, Companheiro?","Brazillian urban guerrilla fighters kidnap the American Ambassador. Now, the diplomat's life hangs in the balance - helplessly caught between a government unwilling to cooperate - and his fear of the captors themselves."
44361,Мать и сын,A man goes for a walk through the countryside with his dying mother.::pyukumuku
12238,The Night Flier,A reporter is on the trail of a vampiric murderer who travels by plane.::<crow_steve@hotmail.com>
102732,Little City,"San Francisco is a little city, where you keep running into the same 6 people, here 5 around 30 y.o. and a cougar on the prowl for young women, all going in and out of relationships.::Scott Filtenborg"
32144,The Proposition,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.::Anonymous
29193,The Spanish Prisoner,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.::Anonymous
47881,My Giant,"Billy Crystal plays a Hollywood agent who stumbles upon Max, a giant living in Romania, and tries to get him into the movies.::Thomas Pluck <stripey@winternet.com>"
98499,Illtown,"Aided by a group of teens, a man and his girlfriend run a profitable drug operation but someone is distributing bad smack in the area and the cops start a crack-down.::nufs68"
